GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS812700636	2019-10-04 15:01:19	20549	species	Eurasian Magpie	Pica pica			8				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		0	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS805843771	2019-09-15 16:02:38	26739	species	European Starling	Sturnus vulgaris			200				Turkey	TR	Düzce	TR-81							Melen Çayı - Akınlar Mahallesi	L5927648	P	40.8600445	31.1283445	2019-09-15	15:30:00	obsr883055	S59830731	Traveling	P22	EBIRD	30	1.000		1	1		0	1	0		akınlar mah. melen kıyısı - çalılık alan, bir tane leylek leşi vardı,		
URN:CornellLabOfOrnithology:EBIRD:OBS808555443	2019-09-22 17:29:35	24265	species	Garden Warbler	Sylvia borin			1				Turkey	TR	Düzce	TR-81							Düzce merkez	L5808743	P	40.8475148	31.1407042	2019-09-21	08:30:00	obsr883055	S60032832	Incidental	P20	EBIRD				1	0		0	1	0		sabah hava hafif yağmurlu idi, işe giderken şehir merkezi, Atatürk bulvarındaki Bim marketinin ara sokağında yerde ıslak bir halde buldum, ayaklarında sıkıntı vardı, kendine gelince tekrardan o  bölgedeki ağaçlık bahçeye bıraktım,		
URN:CornellLabOfOrnithology:EBIRD:OBS812700634	2019-10-04 15:01:19	7100	species	Gray Heron	Ardea cinerea			9				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		1	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS808923278	2019-09-23 16:00:33	7100	species	Gray Heron	Ardea cinerea			22				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS812700624	2019-10-04 15:01:19	6965	species	Great Cormorant	Phalacrocorax carbo			1				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		1	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS808923280	2019-09-23 16:00:33	6965	species	Great Cormorant	Phalacrocorax carbo			46				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS808923276	2019-09-23 16:00:33	7124	species	Great Egret	Ardea alba			2				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS812700638	2019-10-04 15:01:19	21240	species	Great Tit	Parus major			1				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		0	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS812700640	2019-10-04 15:01:19	5972	species	Green Sandpiper	Tringa ochropus			11				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		1	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS812700626	2019-10-04 15:01:19	20659	species	Hooded Crow	Corvus cornix			14				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		0	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS805843772	2019-09-15 16:02:38	20659	species	Hooded Crow	Corvus cornix			6				Turkey	TR	Düzce	TR-81							Melen Çayı - Akınlar Mahallesi	L5927648	P	40.8600445	31.1283445	2019-09-15	15:30:00	obsr883055	S59830731	Traveling	P22	EBIRD	30	1.000		1	1		0	1	0		akınlar mah. melen kıyısı - çalılık alan, bir tane leylek leşi vardı,		
URN:CornellLabOfOrnithology:EBIRD:OBS808923273	2019-09-23 16:00:33	20659	species	Hooded Crow	Corvus cornix			50				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		1	1	0				
