GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS845066558	2020-01-01 15:35:34	24194	species	Long-tailed Tit	Aegithalos caudatus			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr668290	S62868327	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066561	2020-01-01 15:35:34	21097	species	Marsh Tit	Poecile palustris			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr668290	S62868327	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066543	2020-01-01 15:35:34	21097	species	Marsh Tit	Poecile palustris			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr1003672	S62868326	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS795701254	2020-03-28 12:49:51	28629	species	Northern Wheatear	Oenanthe oenanthe			2				Turkey	TR	Düzce	TR-81							Sarayyeri	L6123437	P	40.8787373	31.1401033	2019-08-14	14:30:00	obsr883055	S59062180	Traveling	P22	EBIRD	60	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS801868859	2019-09-05 16:51:10	28629	species	Northern Wheatear	Oenanthe oenanthe			1				Turkey	TR	Düzce	TR-81							Sarayyeri	L6123437	P	40.8787373	31.1401033	2019-08-31	11:30:00	obsr883055	S59536802	Traveling	P22	EBIRD	120	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066528	2020-01-01 15:35:34	24044	spuh	Phylloscopus sp.	Phylloscopus sp.			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr1003672	S62868326	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066546	2020-01-01 15:35:34	24044	spuh	Phylloscopus sp.	Phylloscopus sp.			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr668290	S62868327	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS801868850	2019-09-05 16:51:10	6957	species	Pygmy Cormorant	Microcarbo pygmaeus			22				Turkey	TR	Düzce	TR-81							Sarayyeri	L6123437	P	40.8787373	31.1401033	2019-08-31	11:30:00	obsr883055	S59536802	Traveling	P22	EBIRD	120	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS801868857	2019-09-05 16:51:10	20115	species	Red-backed Shrike	Lanius collurio			3			Female, Unknown Age (3)	Turkey	TR	Düzce	TR-81							Sarayyeri	L6123437	P	40.8787373	31.1401033	2019-08-31	11:30:00	obsr883055	S59536802	Traveling	P22	EBIRD	120	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066545	2020-01-01 15:35:34	8673	species	Tawny Owl	Strix aluco			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr668290	S62868327	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0			Ses	
URN:CornellLabOfOrnithology:EBIRD:OBS845066527	2020-01-01 15:35:34	8673	species	Tawny Owl	Strix aluco			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr1003672	S62868326	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0			Ses	
URN:CornellLabOfOrnithology:EBIRD:OBS795701253	2020-03-28 12:49:51	30509	species	White Wagtail	Motacilla alba			6				Turkey	TR	Düzce	TR-81							Sarayyeri	L6123437	P	40.8787373	31.1401033	2019-08-14	14:30:00	obsr883055	S59062180	Traveling	P22	EBIRD	60	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS801868854	2019-09-05 16:51:10	30509	species	White Wagtail	Motacilla alba			2				Turkey	TR	Düzce	TR-81							Sarayyeri	L6123437	P	40.8787373	31.1401033	2019-08-31	11:30:00	obsr883055	S59536802	Traveling	P22	EBIRD	120	2.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066539	2020-01-01 15:35:34	30509	species	White Wagtail	Motacilla alba			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr1003672	S62868326	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066557	2020-01-01 15:35:34	30509	species	White Wagtail	Motacilla alba			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr668290	S62868327	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066554	2020-01-01 15:35:34	26582	species	White-throated Dipper	Cinclus cinclus			3				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr668290	S62868327	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066536	2020-01-01 15:35:34	26582	species	White-throated Dipper	Cinclus cinclus			3				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr1003672	S62868326	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066537	2020-01-01 15:35:34	26188	species	Eurasian Wren	Troglodytes troglodytes			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr1003672	S62868326	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066555	2020-01-01 15:35:34	26188	species	Eurasian Wren	Troglodytes troglodytes			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr668290	S62868327	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS795701255	2020-03-28 12:49:51	5990	species	Wood Sandpiper	Tringa glareola			6				Turkey	TR	Düzce	TR-81							Sarayyeri	L6123437	P	40.8787373	31.1401033	2019-08-14	14:30:00	obsr883055	S59062180	Traveling	P22	EBIRD	60	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066556	2020-01-01 15:35:34	25982	slash	Eurasian/Short-toed Treecreeper	Certhia familiaris/brachydactyla			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr668290	S62868327	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS845066538	2020-01-01 15:35:34	25982	slash	Eurasian/Short-toed Treecreeper	Certhia familiaris/brachydactyla			X				Turkey	TR	Düzce	TR-81							Yedigöller Yolu, Merkeşler, Bolu, TR (40,943, 31,747)	L10394820	P	40.9434623	31.7469189	2019-08-28	20:04:00	obsr1003672	S62868326	Stationary	P21	EBIRD	240			3	1	G4813164	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS805843776	2019-09-15 16:02:38	23153	species	Barn Swallow	Hirundo rustica			6				Turkey	TR	Düzce	TR-81							Melen Çayı - Akınlar Mahallesi	L5927648	P	40.8600445	31.1283445	2019-09-15	15:30:00	obsr883055	S59830731	Traveling	P22	EBIRD	30	1.000		1	1		0	1	0		akınlar mah. melen kıyısı - çalılık alan, bir tane leylek leşi vardı,		
URN:CornellLabOfOrnithology:EBIRD:OBS812700628	2019-10-04 15:01:19	23153	species	Barn Swallow	Hirundo rustica			4				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		0	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS812700632	2019-10-04 15:01:19	6867	species	Black Stork	Ciconia nigra			1				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		0	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS808923277	2019-09-23 16:00:33	6867	species	Black Stork	Ciconia nigra			6				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS812700623	2019-10-04 15:01:19	7170	species	Cattle Egret	Bubulcus ibis			1				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		0	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS812700627	2019-10-04 15:01:19	8040	species	Common Buzzard	Buteo buteo			1				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		0	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS808923281	2019-09-23 16:00:33	20703	species	Common Raven	Corvus corax			2				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS812700621	2019-10-04 15:01:19	5938	species	Common Snipe	Gallinago gallinago			1				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		1	1	0		Melen çayı kıyısı boyunca		
